index,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS
2021-01-01,27,118,35,6,10,52,715,76,19,9,187,40,112,203,486,90,54,17,171,54,177,205,24,81,32,126,37,90,42,58,36,17
2021-01-02,54,126,119,5,19,56,1896,182,16,22,306,46,128,317,634,146,217,26,540,246,341,236,49,158,85,248,233,137,96,128,71,57
2021-01-03,41,132,50,5,17,53,1144,176,50,17,304,60,157,289,561,118,224,25,409,110,236,241,50,128,55,193,63,105,66,118,45,31
2021-01-04,131,372,211,40,35,123,6833,432,38,164,885,183,344,707,1970,339,235,79,1189,350,567,652,100,327,157,518,390,346,173,330,137,187
2021-01-05,142,393,280,29,41,113,6754,400,41,180,1069,188,330,752,1951,394,243,59,1175,347,598,479,144,390,156,514,395,313,201,334,183,244
2021-01-06,135,332,270,32,45,132,6679,402,44,150,1086,188,287,857,1913,374,286,57,933,341,659,628,106,393,169,392,347,392,153,314,147,181
2021-01-07,157,346,274,22,58,135,6816,487,69,181,959,187,397,770,1982,298,303,59,1057,332,572,666,119,385,177,402,369,391,164,277,149,216
2021-01-08,149,295,259,40,49,113,6737,445,73,150,989,204,310,923,1913,282,323,69,1028,321,681,608,117,445,185,360,388,397,138,299,150,173
2021-01-09,60,119,109,10,23,56,3942,163,38,28,426,100,190,384,819,109,261,51,525,245,478,289,59,243,102,191,212,194,108,164,69,79
2021-01-10,45,104,63,6,26,47,1353,130,44,31,386,88,152,354,576,89,76,41,338,120,346,237,44,178,61,180,62,152,53,180,56,52
2021-01-11,237,368,255,31,69,121,7464,368,77,166,1264,361,337,1092,2270,344,374,97,1009,390,694,694,114,505,214,496,457,319,217,335,119,197
2021-01-12,187,290,252,24,55,131,6930,452,60,221,1227,324,304,841,2065,404,307,92,1006,263,732,660,176,437,211,331,346,395,178,316,136,160
2021-01-13,156,292,218,44,46,125,6876,368,63,150,1169,234,334,882,2123,363,255,97,882,296,611,635,113,442,192,315,326,358,163,282,103,151
2021-01-14,140,260,228,29,42,92,6636,378,48,165,1222,258,323,702,2095,279,418,88,973,250,631,665,95,432,163,332,330,318,163,355,117,170
2021-01-15,164,250,186,31,42,90,6336,398,52,130,1175,248,259,753,1940,247,382,72,1015,297,585,518,99,428,201,269,315,303,156,321,147,125
2021-01-16,48,91,113,11,15,60,3748,146,41,34,441,93,149,336,847,121,300,63,501,191,443,317,41,270,100,186,180,185,80,198,45,57
2021-01-17,51,82,68,9,29,44,1145,170,32,26,315,88,119,313,621,137,62,44,362,98,264,262,39,225,74,150,45,120,65,175,54,43
2021-01-18,210,313,236,29,52,161,6655,422,62,145,1130,298,270,860,2198,360,387,86,1097,280,697,822,92,523,223,473,445,375,186,350,98,158
2021-01-19,226,210,267,29,34,132,6468,460,74,158,1102,313,269,759,2132,327,423,108,1140,356,646,674,115,563,183,300,360,380,154,349,153,190
2021-01-20,192,212,231,33,42,122,5774,381,88,139,1026,294,258,755,2011,299,547,112,919,261,534,657,100,566,186,286,316,325,184,309,174,158
2021-01-21,187,218,220,29,35,116,5567,403,74,131,1010,266,262,694,1984,274,450,111,863,248,574,661,119,510,187,320,335,313,141,329,127,180
2021-01-22,161,206,262,37,35,95,5592,368,67,127,850,204,264,604,1900,270,466,97,928,229,566,637,129,485,205,282,353,350,137,328,126,142
2021-01-23,70,87,116,16,10,56,3111,140,28,33,437,87,127,306,859,124,467,59,454,138,390,282,110,260,79,167,240,158,77,177,66,73
2021-01-24,53,66,54,12,16,40,1090,123,37,26,292,75,161,293,486,110,52,36,287,114,269,199,37,171,82,93,74,116,62,137,58,31
2021-01-25,207,188,287,43,44,140,5866,371,61,160,993,316,292,773,2089,345,712,101,962,274,582,637,130,572,212,336,419,357,122,331,142,154
2021-01-26,163,240,245,33,50,118,5888,434,41,145,954,226,232,647,1800,295,591,91,924,273,571,637,119,561,184,211,308,315,120,319,149,192
2021-01-27,124,175,211,34,45,108,5077,321,64,115,739,233,279,616,1674,208,491,98,773,251,518,559,87,485,177,216,274,256,146,260,148,170
2021-01-28,132,181,188,23,46,102,4679,354,53,109,850,264,189,529,1528,230,486,79,749,226,443,533,118,408,151,206,248,271,124,248,153,153
2021-01-29,102,119,167,48,56,68,4292,283,61,89,780,226,198,462,1426,174,396,45,563,175,431,382,110,396,140,234,219,187,95,233,113,110
2021-01-30,33,59,65,7,31,52,2410,115,23,11,346,70,120,205,685,83,440,40,388,139,331,226,63,205,72,112,129,108,54,107,36,51
